Model,Accuracy,Precision,Recall,F1-score
Bagging,0.9606741573033708,0.9608491368597034,0.9606741573033708,0.9606595854394543
Decision Tree,0.9370786516853933,0.9370590087641816,0.9370786516853933,0.9370496928557429
Random Forest,0.8876404494382022,0.8880476320012417,0.8876404494382022,0.8876124540335466
KNN,0.7775280898876404,0.783050315811993,0.7775280898876404,0.7754998954417605
Naive Bayes,0.19550561797752808,0.4813892685090364,0.19550561797752808,0.159413840172621
