budget,runtime,popularity,vote_average,vote_count,budget_missing,success_score,release_year,release_month,is_summer_release,is_holiday_release,num_genres,is_english,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Foreign,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,original_language_ar,original_language_cn,original_language_cs,original_language_da,original_language_de,original_language_el,original_language_en,original_language_es,original_language_fa,original_language_fr,original_language_he,original_language_hi,original_language_hu,original_language_id,original_language_is,original_language_it,original_language_ja,original_language_ko,original_language_ky,original_language_nb,original_language_nl,original_language_no,original_language_pl,original_language_ps,original_language_pt,original_language_ro,original_language_ru,original_language_sl,original_language_sv,original_language_ta,original_language_te,original_language_th,original_language_tr,original_language_vi,original_language_xx,original_language_zh,era_2010s+ (2010+),era_Classique (< 1980),era_Moderne (1980-1999)
2.9505630892585235,2.251835431675657,2.470965757134551,1.0871031329427001,4.697913917066203,0,1.1871305837980008,0.8694989129767086,-0.5142407681025682,-0.5615911461059685,-0.4300790823297144,-0.4556620518452044,0.2617119612951068,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
4.29867905614712,-0.8686134922438479,0.2808843386432292,0.033799225693699426,0.41935307758353857,0,-2.1278887201989848e-05,0.3791650510925836,0.3585093737668879,1.7806548535067295,-0.4300790823297144,1.3387343011253703,0.2617119612951068,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.491267051416919,0.3915678039544136,2.4050829863445884,-0.7561787047430505,1.2848087865746738,0,0.08466628972337477,0.4608873614066044,0.06759265981040255,1.7806548535067295,-0.4300790823297144,0.4415361246400829,0.2617119612951068,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.05380963695034731,0.21154190449751908,-0.8618485440601229,-1.1072800071593842,-0.6538693165130844,0,-1.1711511691325658,1.03294353360475,-1.3869909099720243,-0.5615911461059685,-0.4300790823297144,1.3387343011253703,0.2617119612951068,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
-0.5160208255978659,0.8716368691727989,-0.46161826282363555,0.3849005281100332,-0.4976860842613729,0,0.8361730922586734,1.114665843918771,0.06759265981040255,1.7806548535067295,-0.4300790823297144,2.2359324776106577,-3.8209946349085597,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.3698839526432114,0.0315160050406246,-0.6071759854471543,0.4726758537141163,4.209303988645711,0,0.936119682240525,-0.11116881079154137,-0.22332405414608283,1.7806548535067295,-0.4300790823297144,0.4415361246400829,0.2617119612951068,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.645337447632759,-1.2286652911576368,0.27965702000317333,-0.053976099910383636,0.549744583408362,0,-0.36928959607205963,0.29744274077856275,0.9403428016798586,-0.5615911461059685,-0.4300790823297144,1.3387343011253703,0.2617119612951068,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.491267051416919,-0.8086048590915497,1.1973707119491417,0.5604511793182001,0.505325499006499,0,0.40663164065727925,0.9512212232907293,-1.3869909099720243,-0.5615911461059685,-0.4300790823297144,0.4415361246400829,0.2617119612951068,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
4.29867905614712,1.651749100152675,2.0719707328430212,-0.22952675111855053,0.8621110479117848,0,0.38755786394318537,-0.029446500477520544,1.231259515636344,-0.5615911461059685,2.325153770750848,0.4415361246400829,0.2617119612951068,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.452749452362959,0.6316023365636062,2.7557234706876046,-0.6684033791389674,2.3666284228135925,0,-0.09081245604628865,1.114665843918771,0.06759265981040255,1.7806548535067295,-0.4300790823297144,0.4415361246400829,0.2617119612951068,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
